City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,ataq,14.5377,46.8319,34.36,29,22,5.06,YE,1689601425
302,khandud,36.9513,72.318,22.86,27,8,3.31,AF,1689601425
303,subotica,46.1,19.6667,35.46,33,0,3.11,RS,1689601425
304,bilajer,40.5681,50.0378,25.9,53,20,6.17,AZ,1689601426
305,hilo,19.7297,-155.09,22.36,92,0,1.54,US,1689601173
306,sabang,5.8933,95.3214,29.39,74,100,11.85,ID,1689601426
307,ogre,56.8162,24.614,24.82,56,94,2.15,LV,1689601426
308,howrah,22.5892,88.3103,29.0,89,75,2.06,IN,1689601426
309,shingu,33.7333,135.9833,25.06,89,0,2.7,JP,1689601427
310,stjordalshalsen,63.4681,10.9262,17.0,72,75,5.66,NO,1689601428
311,auki,-8.7676,160.7034,25.04,88,100,0.99,SB,1689601428
312,kavaratti,10.5669,72.642,28.17,79,75,8.77,IN,1689601428
313,kavieng,-2.5744,150.7967,27.58,80,100,2.16,PG,1689601428
314,begusarai,25.4167,86.1333,31.69,62,100,4.72,IN,1689601428
315,stone,52.9059,-2.1541,20.42,63,96,5.21,GB,1689601428
316,kayangel,8.0823,134.7173,28.89,79,100,7.02,PW,1689601429
317,kaliganj,23.4095,89.1402,28.05,85,100,4.55,BD,1689601429
318,amga,60.8953,131.9608,11.23,82,96,2.06,RU,1689601429
319,cicurug,-6.7814,106.7825,22.16,93,72,1.06,ID,1689601429
320,victorica,-36.2151,-65.4359,3.44,61,96,4.97,AR,1689601430
321,wagini,12.6878,7.1958,35.7,32,87,1.42,NG,1689601430
322,salinas,36.6777,-121.6555,15.45,91,100,0.0,US,1689601430
323,brookings,44.3114,-96.7984,16.7,83,3,0.89,US,1689601430
324,howard springs,-12.497,131.047,21.95,45,62,1.25,AU,1689601430
325,darhan,49.4867,105.9228,18.45,90,100,4.86,MN,1689601430
326,tshabong,-26.05,22.45,24.19,16,0,2.65,BW,1689601431
327,hami,42.8,93.45,38.1,11,62,9.7,CN,1689601431
328,praia da vitoria,38.7333,-27.0667,22.14,78,75,3.87,PT,1689601431
329,changsha,28.2,112.9667,28.09,72,79,2.35,CN,1689601397
330,wenzhou,27.9994,120.6668,27.61,89,10,1.01,CN,1689601431
331,hongqiao,26.7684,112.1081,24.7,94,100,1.84,CN,1689601431
332,saint joseph,39.7686,-94.8466,22.36,96,100,3.09,US,1689601228
333,san luis de la loma,17.2706,-100.8939,27.56,80,70,1.22,MX,1689601432
334,robore,-18.3333,-59.75,19.05,88,75,0.0,BO,1689601432
335,cedral,23.8,-100.7333,19.55,66,52,4.12,MX,1689601432
336,betio village,1.358,172.9211,27.02,74,22,2.6,KI,1689601432
337,baotou,40.6522,109.8222,28.7,21,1,5.26,CN,1689601432
338,tadine,-21.55,167.8833,20.82,69,90,6.67,NC,1689601432
339,kuchaiburi,22.2667,86.1667,27.11,88,95,2.65,IN,1689601433
340,mondlo,-27.983,30.7177,22.63,17,0,1.95,ZA,1689601433
341,russkiy,43.0147,131.8642,17.92,95,100,2.73,RU,1689601433
